"Gender"	"Age"	"region"	"date"	"value type"	"value"	"flag"
"Male"	"Age 0 - 4"	"North East"	"1991"	"number"	87189	""
"Male"	"Age 0 - 4"	"North East"	"1992"	"number"	87505	""
"Male"	"Age 0 - 4"	"North East"	"1993"	"number"	86725	""
"Male"	"Age 0 - 4"	"North East"	"1994"	"number"	85937	""
"Male"	"Age 0 - 4"	"North East"	"1995"	"number"	84365	""
"Male"	"Age 0 - 4"	"North East"	"1996"	"number"	81832	""
"Male"	"Age 0 - 4"	"North East"	"1997"	"number"	79305	""
"Male"	"Age 0 - 4"	"North East"	"1998"	"number"	77368	""
"Male"	"Age 0 - 4"	"North East"	"1999"	"number"	75149	""
"Male"	"Age 0 - 4"	"North East"	"2000"	"number"	73397	""
"Male"	"Age 0 - 4"	"North East"	"2001"	"number"	71410	""
"Male"	"Age 0 - 4"	"North East"	"2002"	"number"	69767	""
"Male"	"Age 0 - 4"	"North East"	"2003"	"number"	68933	""
"Male"	"Age 0 - 4"	"North East"	"2004"	"number"	68922	""
"Male"	"Age 0 - 4"	"North East"	"2005"	"number"	68973	""
"Male"	"Age 0 - 4"	"North East"	"2006"	"number"	70103	""
"Male"	"Age 0 - 4"	"North East"	"2007"	"number"	71721	""
"Male"	"Age 0 - 4"	"North East"	"2008"	"number"	73454	""
"Male"	"Age 0 - 4"	"North East"	"2009"	"number"	74600	""
"Male"	"Age 0 - 4"	"North East"	"2010"	"number"	76006	""
"Male"	"Age 0 - 4"	"North East"	"2011"	"number"	76913	""
"Male"	"Age 0 - 4"	"North East"	"2012"	"number"	77736	""
"Male"	"Age 0 - 4"	"North East"	"2013"	"number"	77793	""
"Male"	"Age 0 - 4"	"North East"	"2014"	"number"	77613	""
"Male"	"Age 0 - 4"	"North East"	"2015"	"number"	76895	""
"Male"	"Age 0 - 4"	"North East"	"2016"	"number"	75950	""
"Male"	"Age 0 - 4"	"North East"	"2017"	"number"	74603	""
"Male"	"Age 0 - 4"	"North East"	"2018"	"number"	73290	""
"Male"	"Age 0 - 4"	"North East"	"2019"	"number"	71869	""
"Male"	"Age 0 - 4"	"North East"	"2020"	"number"	70116	""
"Male"	"Age 0 - 4"	"North East"	"2021"	"number"	68218	""
"Male"	"Age 0 - 4"	"North East"	"2022"	"number"	68232	""
"Male"	"Age 0 - 4"	"North West"	"1991"	"number"	242657	""
"Male"	"Age 0 - 4"	"North West"	"1992"	"number"	243883	""
"Male"	"Age 0 - 4"	"North West"	"1993"	"number"	241465	""
"Male"	"Age 0 - 4"	"North West"	"1994"	"number"	239104	""
"Male"	"Age 0 - 4"	"North West"	"1995"	"number"	233597	""
"Male"	"Age 0 - 4"	"North West"	"1996"	"number"	225780	""
"Male"	"Age 0 - 4"	"North West"	"1997"	"number"	219704	""
"Male"	"Age 0 - 4"	"North West"	"1998"	"number"	215167	""
"Male"	"Age 0 - 4"	"North West"	"1999"	"number"	211017	""
"Male"	"Age 0 - 4"	"North West"	"2000"	"number"	207182	""
"Male"	"Age 0 - 4"	"North West"	"2001"	"number"	202643	""
"Male"	"Age 0 - 4"	"North West"	"2002"	"number"	198030	""
"Male"	"Age 0 - 4"	"North West"	"2003"	"number"	196751	""
"Male"	"Age 0 - 4"	"North West"	"2004"	"number"	197081	""
"Male"	"Age 0 - 4"	"North West"	"2005"	"number"	198664	""
"Male"	"Age 0 - 4"	"North West"	"2006"	"number"	202240	""
"Male"	"Age 0 - 4"	"North West"	"2007"	"number"	207193	""
"Male"	"Age 0 - 4"	"North West"	"2008"	"number"	213124	""
"Male"	"Age 0 - 4"	"North West"	"2009"	"number"	216891	""
"Male"	"Age 0 - 4"	"North West"	"2010"	"number"	220252	""
